NAME,NESTAB,NRCPTOT,NAICS2017,state,county
"Graves County, Kentucky",2702,129582,00,21,083
"Grayson County, Kentucky",2011,134611,00,21,085
"Green County, Kentucky",926,40242,00,21,087
"Greenup County, Kentucky",1964,79193,00,21,089
"Hancock County, Kentucky",483,21675,00,21,091
"Hardin County, Kentucky",6314,276854,00,21,093
"Harlan County, Kentucky",1206,42977,00,21,095
"Harrison County, Kentucky",1204,57061,00,21,097
"Henry County, Kentucky",1145,56923,00,21,103
"Hart County, Kentucky",1777,112829,00,21,099
"Henderson County, Kentucky",2435,107024,00,21,101
"Hickman County, Kentucky",324,11068,00,21,105
"Hopkins County, Kentucky",2458,108229,00,21,107
"Jackson County, Kentucky",893,28988,00,21,109
"Jefferson County, Kentucky",62676,3190877,00,21,111
"Jessamine County, Kentucky",4960,266348,00,21,113
"Johnson County, Kentucky",1210,53354,00,21,115
"Kenton County, Kentucky",10828,541413,00,21,117
"Knott County, Kentucky",767,28912,00,21,119
"Knox County, Kentucky",2000,86816,00,21,121
"Larue County, Kentucky",1105,48959,00,21,123
"Lee County, Kentucky",369,12662,00,21,129
"Laurel County, Kentucky",4410,220473,00,21,125
"Lawrence County, Kentucky",759,28873,00,21,127
"Leslie County, Kentucky",431,18815,00,21,131
"Letcher County, Kentucky",1035,35338,00,21,133
"Lewis County, Kentucky",832,38949,00,21,135
"Lincoln County, Kentucky",1686,83922,00,21,137
"Livingston County, Kentucky",568,21262,00,21,139
"Logan County, Kentucky",1933,115672,00,21,141
"Lyon County, Kentucky",506,22546,00,21,143
"McCracken County, Kentucky",4896,220556,00,21,145
"McCreary County, Kentucky",901,40253,00,21,147
"McLean County, Kentucky",526,20330,00,21,149
"Madison County, Kentucky",6526,300148,00,21,151
"Magoffin County, Kentucky",639,26802,00,21,153
"Marion County, Kentucky",1274,57144,00,21,155
"Marshall County, Kentucky",2255,95742,00,21,157
"Martin County, Kentucky",379,14298,00,21,159
"Mason County, Kentucky",1140,57101,00,21,161
"Meade County, Kentucky",1706,75448,00,21,163
"Menifee County, Kentucky",437,14556,00,21,165
"Mercer County, Kentucky",1795,91374,00,21,167
"Metcalfe County, Kentucky",810,35049,00,21,169
"Monroe County, Kentucky",890,42338,00,21,171
"Montgomery County, Kentucky",1837,83469,00,21,173
"Morgan County, Kentucky",756,30985,00,21,175
"Muhlenberg County, Kentucky",1663,61611,00,21,177
"Nelson County, Kentucky",3212,147209,00,21,179
"Nicholas County, Kentucky",523,28437,00,21,181
"Ohio County, Kentucky",1198,47630,00,21,183
"Oldham County, Kentucky",5658,326005,00,21,185
"Perry County, Kentucky",1263,48036,00,21,193
"Owen County, Kentucky",763,36921,00,21,187
"Owsley County, Kentucky",240,9361,00,21,189
"Pendleton County, Kentucky",798,36262,00,21,191
"Pike County, Kentucky",2634,115212,00,21,195
"Powell County, Kentucky",770,29437,00,21,197
"Pulaski County, Kentucky",5019,241878,00,21,199
"Robertson County, Kentucky",136,3745,00,21,201
"Rockcastle County, Kentucky",991,38871,00,21,203
"Rowan County, Kentucky",1509,73341,00,21,205
"Russell County, Kentucky",1389,63368,00,21,207
"Scott County, Kentucky",4071,177711,00,21,209
"Shelby County, Kentucky",3792,205279,00,21,211
"Simpson County, Kentucky",1426,73322,00,21,213
"Spencer County, Kentucky",1429,68792,00,21,215
"Taylor County, Kentucky",1910,88284,00,21,217
"Todd County, Kentucky",971,61844,00,21,219
"Trigg County, Kentucky",1024,57439,00,21,221
"Trimble County, Kentucky",495,18819,00,21,223
"Union County, Kentucky",719,28407,00,21,225
"Warren County, Kentucky",11320,741443,00,21,227
"Washington County, Kentucky",876,41417,00,21,229
"Wayne County, Kentucky",1238,53151,00,21,231
"Webster County, Kentucky",670,25110,00,21,233
"Whitley County, Kentucky",2408,107721,00,21,235
"Anderson County, Tennessee",5373,254671,00,47,001
"Bedford County, Tennessee",3612,200235,00,47,003
"Benton County, Tennessee",1068,46551,00,47,005
"Williamson County, Tennessee",32279,2645251,00,47,187
"Wilson County, Tennessee",15058,921860,00,47,189
"Bledsoe County, Tennessee",893,41232,00,47,007
"Blount County, Tennessee",10441,552863,00,47,009
"Bradley County, Tennessee",8532,455903,00,47,011
"Campbell County, Tennessee",2557,117522,00,47,013
"Cannon County, Tennessee",1246,58114,00,47,015
"Carroll County, Tennessee",1697,79555,00,47,017
"Carter County, Tennessee",3569,148789,00,47,019
"Cheatham County, Tennessee",3928,209579,00,47,021
"Chester County, Tennessee",1071,47001,00,47,023
"Claiborne County, Tennessee",1963,98248,00,47,025
"Clay County, Tennessee",622,27151,00,47,027
"Cocke County, Tennessee",2353,98671,00,47,029
"Coffee County, Tennessee",4235,213676,00,47,031
"Crockett County, Tennessee",931,43487,00,47,033
"Cumberland County, Tennessee",4936,269063,00,47,035
"Davidson County, Tennessee",86209,5501822,00,47,037
"Decatur County, Tennessee",827,37456,00,47,039
"DeKalb County, Tennessee",1617,99293,00,47,041
"Dickson County, Tennessee",4478,259608,00,47,043
"Dyer County, Tennessee",2393,106638,00,47,045
"Fayette County, Tennessee",4622,243576,00,47,047
"Fentress County, Tennessee",1792,113487,00,47,049
"Franklin County, Tennessee",3006,140185,00,47,051
"Gibson County, Tennessee",3020,143452,00,47,053
"Giles County, Tennessee",2043,121098,00,47,055
"Grainger County, Tennessee",1685,94580,00,47,057
"Greene County, Tennessee",4689,217227,00,47,059
"Grundy County, Tennessee",1172,52129,00,47,061
"Hamblen County, Tennessee",3896,225971,00,47,063
"Hamilton County, Tennessee",31872,1813145,00,47,065
"Hancock County, Tennessee",372,14460,00,47,067
"Hardeman County, Tennessee",2350,87793,00,47,069
"Hardin County, Tennessee",1822,95292,00,47,071
"Hawkins County, Tennessee",3355,130178,00,47,073
"Haywood County, Tennessee",1330,52788,00,47,075
"Henderson County, Tennessee",1935,96366,00,47,077
"Henry County, Tennessee",2365,123806,00,47,079
"Hickman County, Tennessee",1924,92679,00,47,081
"Houston County, Tennessee",496,20558,00,47,083
"Humphreys County, Tennessee",1202,56769,00,47,085
"Johnson County, Tennessee",1218,55776,00,47,091
"Jackson County, Tennessee",856,35764,00,47,087
"Jefferson County, Tennessee",3784,185856,00,47,089
"Knox County, Tennessee",41168,2515049,00,47,093
"Lake County, Tennessee",301,7616,00,47,095
"Lauderdale County, Tennessee",1317,58806,00,47,097
"Lawrence County, Tennessee",3230,166568,00,47,099
"Lewis County, Tennessee",933,48841,00,47,101
"Lincoln County, Tennessee",2527,128456,00,47,103
"Loudon County, Tennessee",4261,250456,00,47,105
"McMinn County, Tennessee",3344,168520,00,47,107
"McNairy County, Tennessee",1725,94645,00,47,109
"Macon County, Tennessee",1844,101780,00,47,111
"Madison County, Tennessee",7605,370364,00,47,113
"Marion County, Tennessee",1879,89836,00,47,115
"Marshall County, Tennessee",2655,152752,00,47,117
"Maury County, Tennessee",9737,478151,00,47,119
"Meigs County, Tennessee",847,42785,00,47,121
"Monroe County, Tennessee",3190,163851,00,47,123
"Montgomery County, Tennessee",15399,724507,00,47,125
"Obion County, Tennessee",1988,91582,00,47,131
"Moore County, Tennessee",473,23106,00,47,127
"Morgan County, Tennessee",1192,50265,00,47,129
"Perry County, Tennessee",634,34490,00,47,135
"Overton County, Tennessee",1947,114532,00,47,133
"Pickett County, Tennessee",503,28591,00,47,137
"Polk County, Tennessee",1152,53149,00,47,139
"Putnam County, Tennessee",6810,381916,00,47,141
"Rhea County, Tennessee",2020,91508,00,47,143
"Roane County, Tennessee",3436,163333,00,47,145
"Robertson County, Tennessee",6497,358801,00,47,147
"Rutherford County, Tennessee",30905,1578259,00,47,149
"Scott County, Tennessee",1423,88301,00,47,151
"Sequatchie County, Tennessee",1203,55659,00,47,153
"Sevier County, Tennessee",9277,608343,00,47,155
"Shelby County, Tennessee",97264,3833225,00,47,157
"Smith County, Tennessee",1596,76160,00,47,159
"Stewart County, Tennessee",848,43087,00,47,161
"Sullivan County, Tennessee",10953,547520,00,47,163
"Sumner County, Tennessee",19177,1085463,00,47,165
"Tipton County, Tennessee",4230,182005,00,47,167
"Trousdale County, Tennessee",713,39144,00,47,169
"Unicoi County, Tennessee",928,43713,00,47,171
"Union County, Tennessee",1435,70077,00,47,173
"Van Buren County, Tennessee",494,23253,00,47,175
"Warren County, Tennessee",3217,162247,00,47,177
"Wayne County, Tennessee",956,38447,00,47,181
"Washington County, Tennessee",9789,508875,00,47,179
"Weakley County, Tennessee",1929,91868,00,47,183
"White County, Tennessee",2189,110101,00,47,185
"Alamance County, North Carolina",11951,499754,00,37,001
"Alexander County, North Carolina",2559,111899,00,37,003
"Alleghany County, North Carolina",1011,53035,00,37,005
"Anson County, North Carolina",1356,49985,00,37,007
"Ashe County, North Carolina",2616,121880,00,37,009
"Avery County, North Carolina",1831,96211,00,37,011
"Beaufort County, North Carolina",3541,160338,00,37,013
"Bertie County, North Carolina",990,34405,00,37,015
"Bladen County, North Carolina",2027,80480,00,37,017
"Brunswick County, North Carolina",13836,660958,00,37,019
"Buncombe County, North Carolina",31141,1545924,00,37,021
"Burke County, North Carolina",5380,253259,00,37,023
"Cabarrus County, North Carolina",19178,786285,00,37,025
"Caldwell County, North Carolina",5228,219240,00,37,027
"Camden County, North Carolina",781,31317,00,37,029
"Catawba County, North Carolina",11798,595921,00,37,035
"Carteret County, North Carolina",6933,367975,00,37,031
"Caswell County, North Carolina",1268,45994,00,37,033
"Chatham County, North Carolina",6958,351447,00,37,037
"Cherokee County, North Carolina",2408,119467,00,37,039
"Chowan County, North Carolina",988,46509,00,37,041
"Clay County, North Carolina",1195,60342,00,37,043
"Cleveland County, North Carolina",6427,214873,00,37,045
"Columbus County, North Carolina",3524,148564,00,37,047
"Craven County, North Carolina",6889,306138,00,37,049
"Cumberland County, North Carolina",21651,837548,00,37,051
"Currituck County, North Carolina",2473,144459,00,37,053
"Dare County, North Carolina",5729,380964,00,37,055
"Davidson County, North Carolina",12444,550933,00,37,057
"Davie County, North Carolina",3440,161784,00,37,059
"Duplin County, North Carolina",3440,168712,00,37,061
"Durham County, North Carolina",27748,1145253,00,37,063
"Edgecombe County, North Carolina",2667,85170,00,37,065
"Forsyth County, North Carolina",29898,1364313,00,37,067
"Franklin County, North Carolina",5738,244114,00,37,069
"Gaston County, North Carolina",16448,687223,00,37,071
"Gates County, North Carolina",574,22994,00,37,073
"Graham County, North Carolina",704,26940,00,37,075
"Granville County, North Carolina",3794,156704,00,37,077
"Greene County, North Carolina",1117,45543,00,37,079
"Guilford County, North Carolina",46348,2228767,00,37,081
"Halifax County, North Carolina",2582,100253,00,37,083
"Harnett County, North Carolina",8797,384745,00,37,085
"Haywood County, North Carolina",5644,248509,00,37,087
"Henderson County, North Carolina",10522,510953,00,37,089
"Hertford County, North Carolina",1162,46407,00,37,091
"Hoke County, North Carolina",3289,164696,00,37,093
"Hyde County, North Carolina",565,29191,00,37,095
"Iredell County, North Carolina",16333,868732,00,37,097
"Jackson County, North Carolina",3237,157291,00,37,099
"Johnston County, North Carolina",17374,834891,00,37,101
"Jones County, North Carolina",672,22843,00,37,103
"Lee County, North Carolina",4539,217786,00,37,105
"Lenoir County, North Carolina",3375,153615,00,37,107
"Lincoln County, North Carolina",7108,364020,00,37,109
"Macon County, North Carolina",3463,173344,00,37,113
"McDowell County, North Carolina",2956,126416,00,37,111
"Madison County, North Carolina",2171,93793,00,37,115
"Martin County, North Carolina",1303,50428,00,37,117
