state,county,NAME,EMP_ambulatory,EMP_hospitals,total_healthcare_employment
42,011,"Berks County, Pennsylvania",10148,7584.0,17732.0
42,013,"Blair County, Pennsylvania",4250,3624.0,7874.0
42,015,"Bradford County, Pennsylvania",1731,1706.0,3437.0
42,017,"Bucks County, Pennsylvania",20756,8292.0,29048.0
42,019,"Butler County, Pennsylvania",5760,2361.0,8121.0
42,021,"Cambria County, Pennsylvania",3722,2653.0,6375.0
42,023,"Cameron County, Pennsylvania",88,0.0,88.0
42,025,"Carbon County, Pennsylvania",1120,0.0,1120.0
42,027,"Centre County, Pennsylvania",3619,1819.0,5438.0
42,029,"Chester County, Pennsylvania",15371,6724.0,22095.0
42,031,"Clarion County, Pennsylvania",588,0.0,588.0
42,033,"Clearfield County, Pennsylvania",2051,0.0,2051.0
42,035,"Clinton County, Pennsylvania",556,322.0,878.0
42,037,"Columbia County, Pennsylvania",1726,0.0,1726.0
42,039,"Crawford County, Pennsylvania",1484,0.0,1484.0
42,041,"Cumberland County, Pennsylvania",8608,3584.0,12192.0
42,043,"Dauphin County, Pennsylvania",10972,12081.0,23053.0
42,045,"Delaware County, Pennsylvania",18258,6306.0,24564.0
42,047,"Elk County, Pennsylvania",515,0.0,515.0
42,049,"Erie County, Pennsylvania",8566,5880.0,14446.0
42,051,"Fayette County, Pennsylvania",2805,1268.0,4073.0
42,055,"Franklin County, Pennsylvania",2860,2323.0,5183.0
42,057,"Fulton County, Pennsylvania",89,0.0,89.0
42,059,"Greene County, Pennsylvania",461,0.0,461.0
42,061,"Huntingdon County, Pennsylvania",685,0.0,685.0
42,063,"Indiana County, Pennsylvania",1723,0.0,1723.0
42,065,"Jefferson County, Pennsylvania",694,0.0,694.0
42,067,"Juniata County, Pennsylvania",172,0.0,172.0
42,069,"Lackawanna County, Pennsylvania",8067,4294.0,12361.0
42,071,"Lancaster County, Pennsylvania",13706,8701.0,22407.0
42,073,"Lawrence County, Pennsylvania",2214,0.0,2214.0
42,075,"Lebanon County, Pennsylvania",2196,3546.0,5742.0
42,077,"Lehigh County, Pennsylvania",15078,21608.0,36686.0
42,079,"Luzerne County, Pennsylvania",10797,6516.0,17313.0
42,081,"Lycoming County, Pennsylvania",3470,2955.0,6425.0
42,083,"McKean County, Pennsylvania",697,446.0,1143.0
42,085,"Mercer County, Pennsylvania",2844,1643.0,4487.0
42,087,"Mifflin County, Pennsylvania",1078,832.0,1910.0
42,089,"Monroe County, Pennsylvania",2835,2133.0,4968.0
42,091,"Montgomery County, Pennsylvania",34211,19119.0,53330.0
42,093,"Montour County, Pennsylvania",3691,5424.0,9115.0
42,095,"Northampton County, Pennsylvania",7786,1687.0,9473.0
42,097,"Northumberland County, Pennsylvania",888,0.0,888.0
42,099,"Perry County, Pennsylvania",399,0.0,399.0
