NAME,EMP,ESTAB,NAICS2017,state,county
"Magoffin County, Kentucky",19,5,51,21,153
"Martin County, Kentucky",6,3,51,21,159
"Mercer County, Kentucky",12,6,51,21,167
"Morgan County, Kentucky",109,7,51,21,175
"Owen County, Kentucky",6,3,51,21,187
"Pendleton County, Kentucky",76,4,51,21,191
"Powell County, Kentucky",21,7,51,21,197
"Rockcastle County, Kentucky",353,6,51,21,203
"Trigg County, Kentucky",42,6,51,21,221
"Union County, Kentucky",18,3,51,21,225
"Wayne County, Kentucky",282,10,51,21,231
"Webster County, Kentucky",29,3,51,21,233
"Bullitt County, Kentucky",29,5,51,21,029
"Carroll County, Kentucky",5,3,51,21,041
"Montgomery County, Kentucky",59,15,51,21,173
"Scott County, Kentucky",86,17,51,21,209
"Whitley County, Kentucky",70,15,51,21,235
"Woodford County, Kentucky",27,7,51,21,239
"Barren County, Kentucky",165,11,51,21,009
"Bell County, Kentucky",30,12,51,21,013
"Boone County, Kentucky",1033,36,51,21,015
"Bourbon County, Kentucky",16,9,51,21,017
"Boyd County, Kentucky",257,22,51,21,019
"Boyle County, Kentucky",158,20,51,21,021
"Breckinridge County, Kentucky",24,4,51,21,027
"Caldwell County, Kentucky",17,5,51,21,033
"Calloway County, Kentucky",261,15,51,21,035
"Campbell County, Kentucky",418,36,51,21,037
"Carter County, Kentucky",634,13,51,21,043
"Christian County, Kentucky",263,30,51,21,047
"Clark County, Kentucky",95,16,51,21,049
"Daviess County, Kentucky",289,26,51,21,059
"Fayette County, Kentucky",3756,179,51,21,067
"Fleming County, Kentucky",13,3,51,21,069
"Floyd County, Kentucky",323,28,51,21,071
"Franklin County, Kentucky",398,27,51,21,073
"Grant County, Kentucky",18,4,51,21,081
"Graves County, Kentucky",45,11,51,21,083
"Grayson County, Kentucky",22,5,51,21,085
"Greenup County, Kentucky",23,4,51,21,089
"Hardin County, Kentucky",1014,46,51,21,093
"Harlan County, Kentucky",47,12,51,21,095
"Hart County, Kentucky",47,6,51,21,099
"Henderson County, Kentucky",78,17,51,21,101
"Henry County, Kentucky",13,3,51,21,103
"Hopkins County, Kentucky",76,11,51,21,107
"Jefferson County, Kentucky",8273,393,51,21,111
"Jessamine County, Kentucky",50,11,51,21,113
"Johnson County, Kentucky",117,9,51,21,115
"Kenton County, Kentucky",504,56,51,21,117
"Knox County, Kentucky",84,10,51,21,121
"Laurel County, Kentucky",1160,39,51,21,125
"Logan County, Kentucky",55,8,51,21,141
"McCracken County, Kentucky",903,33,51,21,145
"Madison County, Kentucky",477,39,51,21,151
"Marion County, Kentucky",8,3,51,21,155
"Marshall County, Kentucky",84,10,51,21,157
"Mason County, Kentucky",155,12,51,21,161
"Meade County, Kentucky",84,4,51,21,163
"Monroe County, Kentucky",10,4,51,21,171
"Muhlenberg County, Kentucky",56,8,51,21,177
"Nelson County, Kentucky",198,14,51,21,179
"Ohio County, Kentucky",19,5,51,21,183
"Oldham County, Kentucky",229,19,51,21,185
"Perry County, Kentucky",95,11,51,21,193
"Pike County, Kentucky",124,16,51,21,195
"Pulaski County, Kentucky",208,21,51,21,199
"Rowan County, Kentucky",72,10,51,21,205
"Russell County, Kentucky",55,7,51,21,207
"Shelby County, Kentucky",105,14,51,21,211
"Simpson County, Kentucky",31,6,51,21,213
"Taylor County, Kentucky",64,10,51,21,217
"Warren County, Kentucky",451,37,51,21,227
"Anderson County, Tennessee",239,32,51,47,001
"Bedford County, Tennessee",106,13,51,47,003
"Clay County, Tennessee",4,3,51,47,027
"Benton County, Tennessee",38,6,51,47,005
"Cannon County, Tennessee",23,5,51,47,015
"Crockett County, Tennessee",32,3,51,47,033
"Grainger County, Tennessee",8,3,51,47,057
"Grundy County, Tennessee",15,3,51,47,061
"Jackson County, Tennessee",91,3,51,47,087
"Lewis County, Tennessee",40,4,51,47,101
"Morgan County, Tennessee",109,6,51,47,129
"Polk County, Tennessee",14,8,51,47,139
"Scott County, Tennessee",44,9,51,47,151
"Trousdale County, Tennessee",12,3,51,47,169
"Unicoi County, Tennessee",13,5,51,47,171
"Wayne County, Tennessee",18,3,51,47,181
"Cumberland County, Tennessee",157,16,51,47,035
"Hamblen County, Tennessee",218,23,51,47,063
"Tipton County, Tennessee",61,9,51,47,167
"Wilson County, Tennessee",300,41,51,47,189
"Blount County, Tennessee",219,25,51,47,009
"Bradley County, Tennessee",256,33,51,47,011
"Campbell County, Tennessee",48,12,51,47,013
"Carroll County, Tennessee",64,15,51,47,017
